"Time (CET)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"01.01.2015 00:00 - 01.01.2015 00:15","9698","10142"
"01.01.2015 00:15 - 01.01.2015 00:30","9527","10051"
"01.01.2015 00:30 - 01.01.2015 00:45","9368","9953"
"01.01.2015 00:45 - 01.01.2015 01:00","9216","9822"
"01.01.2015 01:00 - 01.01.2015 01:15","10130","9755"
"01.01.2015 01:15 - 01.01.2015 01:30","10029","9576"
"01.01.2015 01:30 - 01.01.2015 01:45","9878","9494"
"01.01.2015 01:45 - 01.01.2015 02:00","9784","9383"
"01.01.2015 02:00 - 01.01.2015 02:15","9675","9349"
"01.01.2015 02:15 - 01.01.2015 02:30","9578","9213"
"01.01.2015 02:30 - 01.01.2015 02:45","9476","9069"
"01.01.2015 02:45 - 01.01.2015 03:00","9355","8976"
"01.01.2015 03:00 - 01.01.2015 03:15","9245","8926"
"01.01.2015 03:15 - 01.01.2015 03:30","9147","8833"
"01.01.2015 03:30 - 01.01.2015 03:45","9108","8760"
"01.01.2015 03:45 - 01.01.2015 04:00","9039","8675"
"01.01.2015 04:00 - 01.01.2015 04:15","8973","8612"
"01.01.2015 04:15 - 01.01.2015 04:30","8908","8559"
"01.01.2015 04:30 - 01.01.2015 04:45","8906","8559"
"01.01.2015 04:45 - 01.01.2015 05:00","8849","8538"
"01.01.2015 05:00 - 01.01.2015 05:15","8807","8527"
"01.01.2015 05:15 - 01.01.2015 05:30","8784","8526"
"01.01.2015 05:30 - 01.01.2015 05:45","8841","8491"
"01.01.2015 05:45 - 01.01.2015 06:00","8790","8406"
"01.01.2015 06:00 - 01.01.2015 06:15","8767","8450"
"01.01.2015 06:15 - 01.01.2015 06:30","8771","8465"
"01.01.2015 06:30 - 01.01.2015 06:45","8889","8440"
"01.01.2015 06:45 - 01.01.2015 07:00","8794","8359"
"01.01.2015 07:00 - 01.01.2015 07:15","8685","8147"
"01.01.2015 07:15 - 01.01.2015 07:30","8592","8130"
"01.01.2015 07:30 - 01.01.2015 07:45","8675","8093"
"01.01.2015 07:45 - 01.01.2015 08:00","8654","8120"
"01.01.2015 08:00 - 01.01.2015 08:15","8635","8168"
"01.01.2015 08:15 - 01.01.2015 08:30","8612","8218"
"01.01.2015 08:30 - 01.01.2015 08:45","8674","8156"
"01.01.2015 08:45 - 01.01.2015 09:00","8777","8175"
"01.01.2015 09:00 - 01.01.2015 09:15","8889","8209"
"01.01.2015 09:15 - 01.01.2015 09:30","9010","8284"
"01.01.2015 09:30 - 01.01.2015 09:45","9068","8395"
"01.01.2015 09:45 - 01.01.2015 10:00","9183","8470"
"01.01.2015 10:00 - 01.01.2015 10:15","9296","8599"
