"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2015 00:00 - 01.01.2015 00:15","42955","42976"
"01.01.2015 00:15 - 01.01.2015 00:30","42412","42540"
"01.01.2015 00:30 - 01.01.2015 00:45","41901","42638"
"01.01.2015 00:45 - 01.01.2015 01:00","41355","42483"
"01.01.2015 01:00 - 01.01.2015 01:15","40710","41917"
"01.01.2015 01:15 - 01.01.2015 01:30","40204","41518"
"01.01.2015 01:30 - 01.01.2015 01:45","39640","41179"
"01.01.2015 01:45 - 01.01.2015 02:00","39324","40756"
"01.01.2015 02:00 - 01.01.2015 02:15","39002","40618"
"01.01.2015 02:15 - 01.01.2015 02:30","38869","40312"
"01.01.2015 02:30 - 01.01.2015 02:45","38783","39984"
"01.01.2015 02:45 - 01.01.2015 03:00","38598","39626"
"01.01.2015 03:00 - 01.01.2015 03:15","38626","39472"
"01.01.2015 03:15 - 01.01.2015 03:30","38459","39217"
"01.01.2015 03:30 - 01.01.2015 03:45","38414","38954"
"01.01.2015 03:45 - 01.01.2015 04:00","38461","38781"
"01.01.2015 04:00 - 01.01.2015 04:15","38559","38765"
"01.01.2015 04:15 - 01.01.2015 04:30","38490","38648"
"01.01.2015 04:30 - 01.01.2015 04:45","38713","38802"
"01.01.2015 04:45 - 01.01.2015 05:00","38813","38845"
"01.01.2015 05:00 - 01.01.2015 05:15","38876","39063"
"01.01.2015 05:15 - 01.01.2015 05:30","38828","39032"
"01.01.2015 05:30 - 01.01.2015 05:45","38807","38904"
"01.01.2015 05:45 - 01.01.2015 06:00","38582","38767"
"01.01.2015 06:00 - 01.01.2015 06:15","37456","38532"
"01.01.2015 06:15 - 01.01.2015 06:30","36618","38835"
"01.01.2015 06:30 - 01.01.2015 06:45","37170","39317"
"01.01.2015 06:45 - 01.01.2015 07:00","37746","39495"
"01.01.2015 07:00 - 01.01.2015 07:15","39111","39777"
"01.01.2015 07:15 - 01.01.2015 07:30","40432","40062"
"01.01.2015 07:30 - 01.01.2015 07:45","40745","40345"
"01.01.2015 07:45 - 01.01.2015 08:00","41198","40640"
"01.01.2015 08:00 - 01.01.2015 08:15","42047","40935"
"01.01.2015 08:15 - 01.01.2015 08:30","42497","40998"
"01.01.2015 08:30 - 01.01.2015 08:45","42458","41121"
"01.01.2015 08:45 - 01.01.2015 09:00","43086","41476"
"01.01.2015 09:00 - 01.01.2015 09:15","44128","42120"
"01.01.2015 09:15 - 01.01.2015 09:30","44907","42624"
"01.01.2015 09:30 - 01.01.2015 09:45","45321","43239"
"01.01.2015 09:45 - 01.01.2015 10:00","45726","43869"
"01.01.2015 10:00 - 01.01.2015 10:15","46160","44285"
"01.01.2015 10:15 - 01.01.2015 10:30","46745","44809"
"01.01.2015 10:30 - 01.01.2015 10:45","47555","45370"
"01.01.2015 10:45 - 01.01.2015 11:00","47944","45889"
