"Time (CET)","Day-ahead Total Load Forecast [MW] - France (FR)","Actual Total Load [MW] - France (FR)"
"01.01.2015 00:00 - 01.01.2015 01:00","72250","72390"
"01.01.2015 01:00 - 01.01.2015 02:00","70250","70929"
"01.01.2015 02:00 - 01.01.2015 03:00","69750","69773"
"01.01.2015 03:00 - 01.01.2015 04:00","66300","66417"
"01.01.2015 04:00 - 01.01.2015 05:00","63250","64182"
"01.01.2015 05:00 - 01.01.2015 06:00","61500","63859"
"01.01.2015 06:00 - 01.01.2015 07:00","60850","63921"
"01.01.2015 07:00 - 01.01.2015 08:00","60450","64117"
"01.01.2015 08:00 - 01.01.2015 09:00","60150","63861"
"01.01.2015 09:00 - 01.01.2015 10:00","59950","64277"
"01.01.2015 10:00 - 01.01.2015 11:00","62000","65100"
"01.01.2015 11:00 - 01.01.2015 12:00","64100","65875"
"01.01.2015 12:00 - 01.01.2015 13:00","66450","67460"
"01.01.2015 13:00 - 01.01.2015 14:00","67250","65706"
"01.01.2015 14:00 - 01.01.2015 15:00","63600","62688"
"01.01.2015 15:00 - 01.01.2015 16:00","60400","60798"
"01.01.2015 16:00 - 01.01.2015 17:00","59600","61111"
"01.01.2015 17:00 - 01.01.2015 18:00","62750","65620"
"01.01.2015 18:00 - 01.01.2015 19:00","68300","69967"
"01.01.2015 19:00 - 01.01.2015 20:00","71300","71682"
"01.01.2015 20:00 - 01.01.2015 21:00","71150","70462"
"01.01.2015 21:00 - 01.01.2015 22:00","69400","68173"
"01.01.2015 22:00 - 01.01.2015 23:00","68300","69188"
"01.01.2015 23:00 - 02.01.2015 00:00","70350","70135"
"02.01.2015 00:00 - 02.01.2015 01:00","69000","67584"
"02.01.2015 01:00 - 02.01.2015 02:00","66750","65510"
"02.01.2015 02:00 - 02.01.2015 03:00","66250","64522"
"02.01.2015 03:00 - 02.01.2015 04:00","64150","61798"
"02.01.2015 04:00 - 02.01.2015 05:00","62900","60686"
"02.01.2015 05:00 - 02.01.2015 06:00","63350","62060"
"02.01.2015 06:00 - 02.01.2015 07:00","66200","64662"
"02.01.2015 07:00 - 02.01.2015 08:00","68100","66982"
"02.01.2015 08:00 - 02.01.2015 09:00","70600","68828"
