"Time (CET)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"01.01.2015 00:00 - 01.01.2015 00:15","10118","9849"
"01.01.2015 00:15 - 01.01.2015 00:30","9908","9819"
"01.01.2015 00:30 - 01.01.2015 00:45","9662","9790"
"01.01.2015 00:45 - 01.01.2015 01:00","9440","9718"
"01.01.2015 01:00 - 01.01.2015 01:15","9237","9622"
"01.01.2015 01:15 - 01.01.2015 01:30","9081","9524"
"01.01.2015 01:30 - 01.01.2015 01:45","8932","9407"
"01.01.2015 01:45 - 01.01.2015 02:00","8796","9271"
"01.01.2015 02:00 - 01.01.2015 02:15","8713","9148"
"01.01.2015 02:15 - 01.01.2015 02:30","8631","9025"
"01.01.2015 02:30 - 01.01.2015 02:45","8570","8889"
"01.01.2015 02:45 - 01.01.2015 03:00","8517","8765"
"01.01.2015 03:00 - 01.01.2015 03:15","8493","8639"
"01.01.2015 03:15 - 01.01.2015 03:30","8483","8514"
"01.01.2015 03:30 - 01.01.2015 03:45","8451","8392"
"01.01.2015 03:45 - 01.01.2015 04:00","8420","8301"
"01.01.2015 04:00 - 01.01.2015 04:15","8449","8228"
"01.01.2015 04:15 - 01.01.2015 04:30","8473","8167"
"01.01.2015 04:30 - 01.01.2015 04:45","8519","8134"
"01.01.2015 04:45 - 01.01.2015 05:00","8557","8095"
"01.01.2015 05:00 - 01.01.2015 05:15","8682","8104"
"01.01.2015 05:15 - 01.01.2015 05:30","8780","8111"
"01.01.2015 05:30 - 01.01.2015 05:45","8930","8127"
"01.01.2015 05:45 - 01.01.2015 06:00","9128","8162"
"01.01.2015 06:00 - 01.01.2015 06:15","9471","8201"
"01.01.2015 06:15 - 01.01.2015 06:30","9806","8259"
"01.01.2015 06:30 - 01.01.2015 06:45","10151","8320"
"01.01.2015 06:45 - 01.01.2015 07:00","10549","8387"
"01.01.2015 07:00 - 01.01.2015 07:15","11153","8516"
"01.01.2015 07:15 - 01.01.2015 07:30","11662","8588"
"01.01.2015 07:30 - 01.01.2015 07:45","12148","8684"
"01.01.2015 07:45 - 01.01.2015 08:00","12565","8765"
"01.01.2015 08:00 - 01.01.2015 08:15","12946","8897"
"01.01.2015 08:15 - 01.01.2015 08:30","13197","8963"
"01.01.2015 08:30 - 01.01.2015 08:45","13336","8897"
"01.01.2015 08:45 - 01.01.2015 09:00","13481","8952"
"01.01.2015 09:00 - 01.01.2015 09:15","13648","9105"
"01.01.2015 09:15 - 01.01.2015 09:30","13785","9239"
"01.01.2015 09:30 - 01.01.2015 09:45","13869","9370"
"01.01.2015 09:45 - 01.01.2015 10:00","13967","9536"
"01.01.2015 10:00 - 01.01.2015 10:15","14020","9701"
"01.01.2015 10:15 - 01.01.2015 10:30","14046","9874"
"01.01.2015 10:30 - 01.01.2015 10:45","14094","10007"
"01.01.2015 10:45 - 01.01.2015 11:00","14130","10151"
"01.01.2015 11:00 - 01.01.2015 11:15","14156","10270"
"01.01.2015 11:15 - 01.01.2015 11:30","14184","10408"
"01.01.2015 11:30 - 01.01.2015 11:45","14201","10492"
"01.01.2015 11:45 - 01.01.2015 12:00","14187","10558"
"01.01.2015 12:00 - 01.01.2015 12:15","14153","11938"
"01.01.2015 12:15 - 01.01.2015 12:30","14078","11887"
"01.01.2015 12:30 - 01.01.2015 12:45","13979","11924"
"01.01.2015 12:45 - 01.01.2015 13:00","13934","11926"
"01.01.2015 13:00 - 01.01.2015 13:15","13987","11886"
"01.01.2015 13:15 - 01.01.2015 13:30","14041","11910"
"01.01.2015 13:30 - 01.01.2015 13:45","14020","11987"
"01.01.2015 13:45 - 01.01.2015 14:00","14006","12022"
"01.01.2015 14:00 - 01.01.2015 14:15","13962","12046"
"01.01.2015 14:15 - 01.01.2015 14:30","13937","12097"
"01.01.2015 14:30 - 01.01.2015 14:45","13886","12111"
"01.01.2015 14:45 - 01.01.2015 15:00","13880","12016"
"01.01.2015 15:00 - 01.01.2015 15:15","13817","11893"
"01.01.2015 15:15 - 01.01.2015 15:30","13846","11764"
"01.01.2015 15:30 - 01.01.2015 15:45","13917","11785"
"01.01.2015 15:45 - 01.01.2015 16:00","13999","11874"
"01.01.2015 16:00 - 01.01.2015 16:15","14067","11938"
"01.01.2015 16:15 - 01.01.2015 16:30","14237","11947"
"01.01.2015 16:30 - 01.01.2015 16:45","14502","12115"
"01.01.2015 16:45 - 01.01.2015 17:00","14921","12347"
"01.01.2015 17:00 - 01.01.2015 17:15","15091","12499"
"01.01.2015 17:15 - 01.01.2015 17:30","15221","12521"
"01.01.2015 17:30 - 01.01.2015 17:45","15258","12791"
"01.01.2015 17:45 - 01.01.2015 18:00","15210","12921"
"01.01.2015 18:00 - 01.01.2015 18:15","14952","12739"
"01.01.2015 18:15 - 01.01.2015 18:30","14777","12326"
"01.01.2015 18:30 - 01.01.2015 18:45","14648","12155"
"01.01.2015 18:45 - 01.01.2015 19:00","14544","11977"
"01.01.2015 19:00 - 01.01.2015 19:15","14386","11879"
"01.01.2015 19:15 - 01.01.2015 19:30","14253","11753"
"01.01.2015 19:30 - 01.01.2015 19:45","14113","11675"
"01.01.2015 19:45 - 01.01.2015 20:00","14028","11559"
"01.01.2015 20:00 - 01.01.2015 20:15","13816","11517"
"01.01.2015 20:15 - 01.01.2015 20:30","13633","11444"
"01.01.2015 20:30 - 01.01.2015 20:45","13426","11347"
"01.01.2015 20:45 - 01.01.2015 21:00","13260","11151"
"01.01.2015 21:00 - 01.01.2015 21:15","13005","11057"
"01.01.2015 21:15 - 01.01.2015 21:30","12763","11018"
"01.01.2015 21:30 - 01.01.2015 21:45","12538","10798"
"01.01.2015 21:45 - 01.01.2015 22:00","12337","10640"
"01.01.2015 22:00 - 01.01.2015 22:15","12049","10623"
"01.01.2015 22:15 - 01.01.2015 22:30","11826","10664"
"01.01.2015 22:30 - 01.01.2015 22:45","11562","10589"
"01.01.2015 22:45 - 01.01.2015 23:00","11303","10378"
"01.01.2015 23:00 - 01.01.2015 23:15","11082","10170"
"01.01.2015 23:15 - 01.01.2015 23:30","10852","10002"
"01.01.2015 23:30 - 01.01.2015 23:45","10567","9705"
"01.01.2015 23:45 - 02.01.2015 00:00","10305","9418"
"02.01.2015 00:00 - 02.01.2015 00:15","10018","9253"
"02.01.2015 00:15 - 02.01.2015 00:30","9818","9108"
"02.01.2015 00:30 - 02.01.2015 00:45","9589","8889"
"02.01.2015 00:45 - 02.01.2015 01:00","9379","8731"
"02.01.2015 01:00 - 02.01.2015 01:15","9197","8517"
"02.01.2015 01:15 - 02.01.2015 01:30","9057","8351"
"02.01.2015 01:30 - 02.01.2015 01:45","8929","8208"
"02.01.2015 01:45 - 02.01.2015 02:00","8814","8135"
"02.01.2015 02:00 - 02.01.2015 02:15","8726","8052"
"02.01.2015 02:15 - 02.01.2015 02:30","8651","7900"
"02.01.2015 02:30 - 02.01.2015 02:45","8591","7801"
"02.01.2015 02:45 - 02.01.2015 03:00","8544","7751"
"02.01.2015 03:00 - 02.01.2015 03:15","8526","7713"
"02.01.2015 03:15 - 02.01.2015 03:30","8493","7717"
"02.01.2015 03:30 - 02.01.2015 03:45","8455","7698"
"02.01.2015 03:45 - 02.01.2015 04:00","8431","7673"
"02.01.2015 04:00 - 02.01.2015 04:15","8451","7648"
"02.01.2015 04:15 - 02.01.2015 04:30","8470","7728"
"02.01.2015 04:30 - 02.01.2015 04:45","8511","7845"
"02.01.2015 04:45 - 02.01.2015 05:00","8563","7865"
"02.01.2015 05:00 - 02.01.2015 05:15","8665","7961"
"02.01.2015 05:15 - 02.01.2015 05:30","8768","8170"
"02.01.2015 05:30 - 02.01.2015 05:45","8919","8398"
"02.01.2015 05:45 - 02.01.2015 06:00","9121","8489"
"02.01.2015 06:00 - 02.01.2015 06:15","9476","8742"
"02.01.2015 06:15 - 02.01.2015 06:30","9807","9200"
"02.01.2015 06:30 - 02.01.2015 06:45","10152","9638"
"02.01.2015 06:45 - 02.01.2015 07:00","10529","9843"
"02.01.2015 07:00 - 02.01.2015 07:15","11075","10284"
"02.01.2015 07:15 - 02.01.2015 07:30","11574","10815"
"02.01.2015 07:30 - 02.01.2015 07:45","12061","11251"
"02.01.2015 07:45 - 02.01.2015 08:00","12481","11611"
"02.01.2015 08:00 - 02.01.2015 08:15","12831","11934"
"02.01.2015 08:15 - 02.01.2015 08:30","13122","12355"
"02.01.2015 08:30 - 02.01.2015 08:45","13302","12681"
"02.01.2015 08:45 - 02.01.2015 09:00","13488","12863"
"02.01.2015 09:00 - 02.01.2015 09:15","13708","13019"
"02.01.2015 09:15 - 02.01.2015 09:30","13855","13343"
"02.01.2015 09:30 - 02.01.2015 09:45","13951","13607"
"02.01.2015 09:45 - 02.01.2015 10:00","14082","13813"
"02.01.2015 10:00 - 02.01.2015 10:15","14174","13973"
"02.01.2015 10:15 - 02.01.2015 10:30","14209","14079"
